,Core,Frequency,Price,Line,Producer,Socket,L3,technical process,TDP
AMD A10-9700,Bristol Ridge,3800,3450,AMD A10,AMD,AM4,0.0,28нм,65
AMD A12-9800E,Bristol Ridge,3800,5559,AMD A12,AMD,AM4,0.0,28нм,65
AMD A6-9500,Bristol Ridge,3800,1950,AMD A6,AMD,AM4,0.0,28нм,65
AMD A6-9500E,Bristol Ridge,3400,3250,AMD A6,AMD,AM4,0.0,28нм,65
AMD A8-9600,Bristol Ridge,3400,2799,AMD A8,AMD,AM4,0.0,28нм,65
AMD Athlon 200GE,Raven Ridge,3600,2799,AMD Athlon,AMD,AM4,4.0,14нм,65
AMD Athlon 220GE,Raven Ridge,3400,3799,AMD Athlon,AMD,AM4,4.0,14нм,65
AMD Athlon 240GE,Raven Ridge,3500,3999,AMD Athlon,AMD,AM4,4.0,14нм,65
AMD Athlon X2 340,Trinity,3600,1599,AMD Athlon X2,AMD,FM2,0.0,32нм,65
AMD Athlon X4 840,Steamroller Kaveri,3800,1850,AMD Athlon X4,AMD,FM2+,0.0,28нм,65
AMD Athlon X4 950,Bristol Ridge,3800,2650,AMD Athlon X4,AMD,AM4,0.0,28нм,65
AMD FX-4300,Vishera,4000,2999,AMD FX,AMD,AM3+,8.0,32нм,125
AMD FX-6300,Vishera,4000,3050,AMD FX,AMD,AM3+,8.0,32нм,125
AMD FX-8300,Vishera,4200,3750,AMD FX,AMD,AM3+,8.0,32нм,125
AMD FX-8320E,Vishera,4000,3899,AMD FX,AMD,AM3+,8.0,32нм,125
AMD FX-8350,Vishera,4200,4650,AMD FX,AMD,AM3+,8.0,32нм,125
AMD Ryzen 3 1200,Summit Ridge,3400,4799,AMD Ryzen 3,AMD,AM4,32.0,14нм,180
AMD Ryzen 3 1300X,Summit Ridge,3700,6799,AMD Ryzen 3,AMD,AM4,32.0,14нм,180
AMD Ryzen 3 2200G,Raven Ridge,3700,5550,AMD Ryzen 3,AMD,AM4,4.0,14нм,65
AMD Ryzen 3 2200GE,Raven Ridge,3600,5559,AMD Ryzen 3,AMD,AM4,4.0,14нм,65
AMD Ryzen 5 1600,Summit Ridge,3600,9099,AMD Ryzen 5,AMD,AM4,32.0,14нм,180
