,Core,Frequency,Price
Intel Core i9-9900K,Coffee Lake R,5000,41299
AMD Ryzen Threadripper 1950X,Summit Ridge,4000,47799
Intel Core i7-9800X,Skylake-X,4400,47999
AMD Ryzen Threadripper 2920X,Pinnacle Ridge,4300,48999
Intel Xeon E5-1650 v4,Broadwell-EP,4000,49499
Intel Xeon E5-2630 v4,Broadwell-EP,3100,49499
Intel Xeon E5-2640 v4,Broadwell-EP,3400,60999
Intel Core i7-6900K,Broadwell-E,4000,63999
Intel Core i9-9820X,Skylake-X,4100,66999
Intel Core i9-9900X,Skylake-X,4400,81999
Intel Xeon E5-2637 v4,Broadwell-EP,3700,81999
Intel Xeon E5-1660 v4,Broadwell-EP,3800,88999
Intel Core i9-9920X,Skylake-X,4400,92999
Intel Core i9-9920X,Skylake-X,4400,94499
Intel Core i9-9940X,Skylake-X,4400,103999
Intel Core i9-9940X,Skylake-X,4400,106999
Intel Core i9-9960X,Skylake-X,4400,124999
AMD Ryzen Threadripper 2990WX,Pinnacle Ridge,4200,134999
Intel Core i9-9980XE,Skylake-X,4400,178999
Intel Xeon E5-2698 v3,Haswell-EP,3600,216999
